datetime,symbol,direction,entry,sl,tp,ob,fvg,multi_bos,rsi,near_liq,strategy
2025-05-26 17:49,BTCUSDT,short,109497.61,110422.22,107648.39,0,0,0,51.99,1,Liquidity + BOS
2025-05-26 17:49,BTCUSDT,short,109478.27,110422.22,107590.37,0,0,0,51.63,1,Liquidity + BOS
2025-05-27 15:51,BTCUSDT,short,109448.24,110217.4,107909.92,0,1,0,54.39,0,Liquidity + BOS
2025-05-27 15:53,BTCUSDT,short,109383.21,110217.4,107714.83,0,1,0,53.41,0,Liquidity + BOS
2025-05-27 16:45,NEARUSDT,long,2.89,2.84,2.99,0,0,0,80.38,0,Liquidity + BOS
2025-05-27 19:51,ADAUSDT,short,0.77,0.77,0.75,0,0,0,63.32,0,Liquidity + BOS
2025-05-27 19:51,TONUSDT,short,3.0,3.02,2.95,0,1,0,61.67,0,Liquidity + BOS
2025-05-27 19:51,ICPUSDT,short,5.35,5.4,5.25,0,1,0,69.01,0,Liquidity + BOS
2025-05-27 19:52,ENAUSDT,short,0.4,0.41,0.38,0,0,0,71.88,0,Liquidity + BOS
2025-05-27 19:52,FILUSDT,short,2.89,2.91,2.84,0,0,0,79.86,0,Liquidity + BOS
2025-05-27 19:52,TIAUSDT,short,2.66,2.69,2.6,0,0,0,68.79,0,Liquidity + BOS
2025-05-27 19:52,GRTUSDT,short,0.11,0.11,0.11,0,1,0,70.65,0,Liquidity + BOS
2025-05-27 19:52,MKRUSDT,short,1693.0,1707.0,1665.0,0,1,0,77.48,0,Liquidity + BOS
2025-05-27 19:52,GALAUSDT,short,0.02,0.02,0.02,0,1,0,66.44,0,Liquidity + BOS
2025-05-28 17:03,ETHUSDT,short,2631.3,2604.99,2552.36,0,0,0,47.49,0,PO3 + AMD Model
2025-05-28 17:03,OPUSDT,long,0.77,0.76,0.79,0,1,0,56.98,0,FVG Re-Test
2025-05-28 17:03,SNXUSDT,short,0.77,0.76,0.75,0,1,0,49.3,0,PO3 + AMD Model
2025-05-28 17:03,BNBUSDT,short,682.62,675.79,662.14,0,1,0,47.62,0,PO3 + AMD Model
2025-05-28 17:03,XLMUSDT,short,0.28,0.28,0.27,0,1,0,32.24,0,PO3 + AMD Model
2025-05-28 17:03,PEPEUSDT,short,0.0,0.0,0.0,0,0,0,43.17,0,PO3 + AMD Model
2025-05-28 17:03,NEARUSDT,short,2.79,2.76,2.7,0,0,0,44.76,0,PO3 + AMD Model
